,MDAMB231_siTP53_rep1,MDAMB231_siTP53_rep2,MDAMB231_siTP53_rep3,MDAMB231_siCtrl_rep1,MDAMB231_siCtrl_rep2,MDAMB231_siCtrl_rep3
ZC3H6,141,151,151,94,117,92
ARF3,5331,6330,5457,5743,7199,4846
KCNJ14,154,169,172,183,234,156
KLHL30,3,4,5,3,5,7
KCNK1,281,339,264,287,401,303
KCNK2,11,6,14,11,10,7
CA13,154,189,158,221,301,216
KCNMA1,63,68,68,32,40,19
ENTPD8,8,11,8,14,22,8
ARF4,11927,13661,11231,8807,10981,8036
KCNN1,7,10,6,11,14,9
KCNN2,59,80,60,96,115,72
TRIM74,417,421,436,471,573,409
KCNN4,1802,2083,1717,1664,2194,1318
KCNQ3,37,38,33,28,39,21
KCNS1,7,7,9,7,16,8
RN7SL2,128,190,148,331,13795,235
RN7SL3,13,19,10,19,1753,25
CENPS,169,201,164,233,254,194
LINC-PINT,271,278,231,180,226,178
COL18A1-AS1,8,2,6,5,18,3
NHLRC1,39,41,41,58,61,39
MALAT1,11732,11278,10334,8037,6349,7299
ARL4D,238,266,230,340,492,311
KCNS3,451,497,405,276,367,267
RNF138P1,7,7,4,8,18,7
PSMA3-AS1,593,565,607,472,544,474
KDR,41,54,44,75,83,56
KEL,1,3,5,3,4,3
KHK,47,100,53,117,151,77
KIF2A,2060,2210,2057,2409,2927,2042
KIF3C,1207,1360,1138,1127,1484,974
KIF5B,8177,9245,8012,10179,12753,9372
ACAT1,1049,1196,966,1275,1575,1093
KIFC3,6545,7987,6560,8692,10676,6778
ARF5,1373,1710,1313,1345,1657,1034
KISS1,140,153,142,236,292,191
KIT,2,6,1,2,1,4
KLK1,26,30,27,27,25,20
KLKB1,17,22,26,3,14,13
ARF6,5263,6208,5251,8706,11227,7740
KLRC1,8,10,10,6,6,7
KLRC2,117,126,113,74,67,49
KLRC3,92,63,85,40,66,34
KLRD1,3,6,6,1,1,2
KLC1,3166,3734,3254,4025,5059,3286
KIF11,3353,3610,3218,5058,6384,4600
KIFC1,3827,4568,3690,5658,7106,4560
KIF25,1,5,5,2,6,5
KIF22,1499,1795,1454,2243,2857,1822
KPNA1,2191,2441,2229,2760,3207,2402
KPNB1,12143,13806,12073,20054,23867,17180
KPNA2,10011,11581,9625,12337,15680,10717
KPNA3,1739,1961,1727,2241,2655,1917
ARG2,710,857,699,798,951,656
KPNA4,2493,2701,2473,2819,3431,2516
KPNA5,225,266,250,221,338,239
TNPO1,9324,10339,9357,8239,10206,7537
IPO5,8025,9148,7718,12332,14375,10110
KRAS,1279,1320,1207,1403,1840,1303
KRT4,0,8,5,7,15,4
KRT5,4,0,0,169,194,0
KRT6A,3,1,0,204,208,0
KRT6B,0,0,0,12,9,0
KRT7,4569,5621,4514,6222,7625,4823
KRT8,13437,16763,13038,17564,21466,13308
KRT10,761,907,755,816,1007,579
KRT13,0,3,14,2,2,0
KRT14,4,3,5,3,5,2
CHKB-CPT1B,357,429,413,403,523,361
KRT15,101,106,99,127,169,78
ZFP91-CNTF,906,1019,930,1491,1809,1339
SAP30L-AS1,154,138,168,241,302,210
AMIGO3,227,274,248,303,371,213
ZNF582-DT,9,15,5,7,9,10
KRT16,3,2,1,11,14,3
RHOA,14326,16955,13860,15137,19167,13282
ZKSCAN4,260,295,284,269,302,216
GUSBP2,26,30,28,33,35,28
SNHG5,2258,2671,2151,2636,3252,2184
SUMO4,2,4,3,7,4,0
CENPW,307,389,276,477,648,419
SOGA3,102,141,130,253,329,246
CEP85L,536,579,579,507,664,524
KRT17,6,6,4,54,57,12
SLC7A5P2,66,78,86,112,155,88
C6orf120,394,468,441,715,834,591
NSUN4,480,582,469,773,953,621
RASL11A,19,29,19,31,42,20
KRT18,7040,8694,6795,9110,10826,6813
GPR153,1382,1630,1334,1523,1834,1182
PEDS1,1140,1294,1097,1352,1580,1061
PEDS1-UBE2V1,2039,2378,2034,2961,3534,2525
ILDR2,79,81,86,231,293,201
FGF7P6,28,32,31,34,41,31
SKIDA1,12,23,18,15,15,17
FAM238C,9,6,8,3,4,1
LRRC37A6P,40,40,45,61,79,62
WASHC2A,2718,2963,2646,2351,2757,2081
