Genes,WT_serum_Sc_2,R175_serum_A5,WT_doxo_Sc,WT_serum_A5_1,WT_doxo_A5,WT_serum_A5_2,WT_serum_Sc_1
OGN,79,45,151,74,59,203,70
CLEC18B,7,0,11,0,2,1,6
BDNF-AS,14,4,25,7,9,16,9
C18orf61,6,4,13,15,7,3,6
OLR1,15,29,8,31,7,35,14
OMG,42,26,68,14,70,77,45
OPA1,7350,8685,6051,5896,4725,10556,6724
C18orf32,28,22,28,0,36,30,17
ATP5F1A,11922,13386,9489,9978,8498,19652,11320
TNFRSF11B,48,43,750,79,1196,153,58
OPHN1,816,818,1356,627,1293,1357,601
OPRD1,3,9,4,0,5,11,6
ZBTB21,2128,1771,2539,1786,2296,2793,1998
SCAPER,503,407,418,352,357,615,472
WRAP73,732,704,775,433,744,1250,649
CLDN20,137,155,168,101,144,205,115
OPRL1,16,13,23,8,6,27,17
OR1F1,11,17,18,1,12,21,6
ORC1,1191,898,303,519,104,1221,1106
ORC2,2023,2224,2107,1831,1680,3156,2014
ACO2,2651,2803,2827,1876,2437,4085,2476
ORC4,1411,1419,1372,1291,1172,2206,1274
ORC5,1989,2127,1954,1730,1573,2941,1999
SLC22A18,74,89,161,27,165,112,65
SLC22A18AS,2,5,3,0,8,4,2
ORM2,1,1,3,12,2,10,4
OSBP,2446,2982,2969,1773,2822,3983,2328
ALDH7A1,2249,2098,1789,1592,1259,3183,2156
CLDN11,10,2,45,5,29,24,7
OTX1,158,134,85,73,64,210,162
OVGP1,119,153,100,70,79,207,126
OVOL1,742,883,1809,519,2449,1398,766
OXA1L,5521,5914,5485,4050,4817,8604,5263
OXCT1,2921,2787,1757,1859,1200,3355,2419
OXTR,97,76,225,73,549,186,102
P2RX4,1051,1191,1715,652,1193,1685,1049
P2RX5,187,169,105,103,85,251,185
P2RX7,4,4,27,1,11,3,4
P2RY1,32,34,37,23,31,39,31
P2RY2,3456,2111,4951,1526,3145,4155,3528
P2RY4,8,0,5,0,0,4,2
P2RY6,1190,1021,1815,745,1054,1716,1072
P2RY11,26,26,8,5,11,8,7
P4HA1,4028,3994,1582,3282,1071,5458,4013
P4HB,31869,39227,18811,22411,19707,53270,30523
A1BG-AS1,185,118,185,46,118,233,151
SPRN,305,239,397,103,304,613,253
RGMB-AS1,28,25,45,25,41,47,29
PA2G4,8223,8284,5689,6090,5341,10777,8037
DUXAP8,1412,1398,1291,791,1119,1960,1175
DUXAP10,300,305,318,161,299,427,221
ARGFXP2,31,10,37,10,26,50,37
DPRXP4,20,11,29,8,9,22,22
LOH12CR2,7,23,17,6,7,17,15
PEBP1,7879,8062,6557,4917,5841,12760,7786
PABPC3,246,300,215,516,218,404,260
FURIN,2279,1982,2891,984,2249,3086,2504
PCSK6,1430,1296,990,1142,837,2297,1433
PAFAH1B1,4288,4037,4173,3282,4427,6908,3991
RRM2B,2868,3817,9987,4522,9905,7764,2876
SMARCAL1,515,702,587,376,458,856,585
PLA2G3,75,148,28,40,29,127,82
MINK1,3269,2943,4905,1819,4861,5131,3214
CD207,0,2,3,3,3,7,5
PAFAH1B2,4998,4591,4935,3563,4008,6597,4896
PAFAH1B3,2177,1854,929,1333,988,3245,2071
DUOX2,5,1,8,0,9,1,1
COL5A3,67,51,245,26,161,151,47
PAFAH2,336,266,475,192,370,498,334
SYCP3,118,81,112,120,67,213,104
PODXL2,1422,1242,992,925,945,2519,1364
DELEC1,13,20,214,29,180,36,27
CHST11,113,64,593,114,486,234,143
PRDX1,8898,9659,10062,6910,9126,15524,8289
PAH,20,25,20,11,22,11,16
SERPINE1,29,42,434,45,647,83,31
PAK1,49,36,58,39,24,71,27
ATP5F1B,21247,20836,15496,11673,11009,25530,20427
IL20,6515,8906,7798,3859,5715,7014,5959
GALNT9,6,6,24,1,4,13,3
ATP6V0A4,20,17,46,33,9,31,20
ITSN2,1363,1344,1817,1265,1690,2069,1220
DEF6,158,295,77,107,40,288,169
PAK2,23433,25423,26065,22354,26596,41537,21394
CYHR1,1393,1060,2186,608,1846,2398,1303
GEMIN4,4135,3981,2261,2194,1774,5786,4183
PAK3,3,1,48,2,47,5,10
CALY,2,2,4,3,0,7,3
ANO7,84,77,115,38,47,130,76
PALM,1197,789,674,391,684,1584,1149
PNPLA8,1499,1568,2834,1171,2554,2310,1314
ARHGEF4,135,209,161,75,217,259,149
ARHGEF3,216,267,535,234,544,526,174
SLC45A1,3,1,15,0,20,5,10
PAM,682,1196,838,990,1350,2003,660
CNTN3,10,3,4,1,5,13,8
PAPPA,5,13,73,19,41,33,4
PRKN,25,33,30,17,18,61,24
DCAF8,5833,6411,7400,4323,6990,10347,5559
PARN,8,2,3,3,3,10,4
PAWR,10361,9555,11462,7782,9907,15143,9322
PAX2,1,3,6,2,9,2,1
PAX3,11,1,22,3,9,18,10
PAX5,108,175,83,63,29,151,114
PAX6,69,62,54,74,30,84,43
KCNK4,9,7,17,3,12,22,16
MYEF2,1731,1698,1787,1342,1295,2485,1498
IRX4,434,399,199,173,151,581,426
ASAP1,2955,3249,3264,2765,3302,4429,2834
AK3,3449,4094,3537,3348,3087,5888,3215
HP1BP3,6629,6191,5495,4570,4270,8573,5909
PAX7,6,3,16,6,6,1,5
HDGFL3,2098,2134,1945,1748,1930,2964,1867
COPS7A,1080,1009,1088,735,974,1717,1159
NSDHL,959,804,1035,579,935,1416,949
PDCL,821,719,821,502,603,1042,685
PAX9,1013,1109,1802,962,2008,1702,1035
TAS2R3,43,22,74,16,41,49,38
TAS2R4,25,22,54,17,35,67,41
DHH,4,4,3,0,1,0,0
F11R,10294,11410,15208,8100,15810,19866,10300
VILL,4,2,4,4,8,25,2
PARD6A,274,166,238,123,186,424,241
CLEC4A,26,15,43,18,29,42,16
SPOCK3,2,2,8,0,7,5,0
STMN3,2161,1971,2464,1174,3669,3836,2204
RNF141,1152,1335,1233,828,1226,1561,1096
HEBP1,1077,774,1017,895,882,1884,1058
PBX1,24629,19660,21723,16064,18167,29986,23067
PBX2,102,150,99,65,74,168,100
ATP5F1C,6311,7126,5314,6350,4986,10470,5894
PBX3,651,548,358,564,491,969,643
PC,3192,3496,3180,1726,2602,4621,3487
PCBD1,1945,1719,1328,1315,1295,2862,1874
PCBP1,10170,9104,8215,6203,7646,14996,10055
CDON,2565,2763,955,1930,837,3380,2540
IMPG2,9,8,21,5,26,28,18
PCBP2,35905,39013,31848,31554,30427,64646,35362
PDE11A,46,46,43,35,26,71,35
FOXP3,57,71,108,36,71,77,60
SHANK1,42,67,57,24,53,103,41
PCCA,655,549,634,460,495,760,592
PCCB,1805,2053,2054,1360,1740,2918,1841
PCDH1,1777,1777,1312,935,1479,2357,1719
PCDHGC3,2307,2399,1905,1388,1519,3039,2190
PCDH7,20,5,48,13,54,56,12
TMED5,2255,1753,1446,1145,858,1833,1984
ACOX1,4122,4477,5733,3451,5098,7819,3994
PCDH8,43,33,23,21,15,58,42
SLC35B3,475,499,482,401,427,701,477
MTERF3,773,610,488,690,389,1022,748
TPRKB,380,402,252,232,271,526,360
MED31,127,68,111,70,90,144,99
COQ6,634,554,676,360,490,1039,552
AMDHD2,920,731,1562,342,1319,1382,902
SLC35C2,2161,2120,2523,1029,1842,3104,2129
ASCC1,1164,1351,1301,919,1154,1715,1066
DERL2,1044,1145,747,603,604,1218,963
PCDH9,270,181,2209,376,1317,567,299
EXOSC3,341,279,356,274,266,493,322
FAHD2A,587,562,663,256,496,732,499
PRELID3B,9476,11188,6256,9554,6580,16770,8727
EXOSC1,583,617,727,491,605,1074,561
TMED7,8095,9361,5756,5706,4795,9843,7359
ISOC1,6658,5225,4915,5137,3477,9261,6196
EMC9,574,561,712,329,416,856,670
RRP15,2704,2843,1856,1812,1497,3165,2420
WASHC3,488,593,713,509,596,935,481
HDDC2,1349,1682,1261,1278,1191,2068,1227
MRPS16,5554,5786,3845,3657,3477,8749,5201
GLRX2,324,376,261,323,309,574,303
MRPS18C,179,192,222,175,190,273,168
FIS1,4019,4421,3753,2461,3622,6784,3792
PAM16,5,2,3,0,7,8,4
GOLT1B,1562,2010,1273,1449,1475,2448,1370
BOLA1,608,608,455,302,374,1005,583
VPS36,1250,1156,1264,945,1022,1707,1115
DESI2,1436,1872,822,1301,800,2428,1372
TVP23B,918,1095,927,862,956,1509,867
GLOD4,1641,1606,1219,1133,1000,2360,1464
UBXN1,1031,1093,1422,749,1445,2080,1006
SERPINA5,3,7,6,3,9,4,6
ZNF593,458,484,436,346,346,788,461
