"","genename","ensembleID","entrezgene_id"
"ZNF839","ZNF839","ENSG00000022976",55778
"ZDHHC6","ZDHHC6","ENSG00000023041",64429
"GRAMD1B","GRAMD1B","ENSG00000023171",57476
"RNH1","RNH1","ENSG00000023191",6050
"NDUFS1","NDUFS1","ENSG00000023228",4719
"RB1CC1","RB1CC1","ENSG00000023287",9821
"ERP44","ERP44","ENSG00000023318",23071
"ALAS1","ALAS1","ENSG00000023330",211
"BIRC3","BIRC3","ENSG00000023445",330
"AKAP11","AKAP11","ENSG00000023516",11215
"GLRX2","GLRX2","ENSG00000023572",51022
"SNAPC1","SNAPC1","ENSG00000023608",6617
"DERA","DERA","ENSG00000023697",51071
"STRAP","STRAP","ENSG00000023734",11171
"ABCC2","ABCC2","ENSG00000023839",1244
"DEF6","DEF6","ENSG00000023892",50619
"PLEKHO1","PLEKHO1","ENSG00000023902",51177
"GCLM","GCLM","ENSG00000023909",2730
"UBR2","UBR2","ENSG00000024048",23304
"EHD2","EHD2","ENSG00000024422",30846
"DEPDC1","DEPDC1","ENSG00000024526",55635
"CCDC28A","CCDC28A","ENSG00000024862",25901
"RRAGD","RRAGD","ENSG00000025039",58528
"HSF2","HSF2","ENSG00000025156",3298
"PHF20","PHF20","ENSG00000025293",51230
"HSD17B6","HSD17B6","ENSG00000025423",8630
"NR1H3","NR1H3","ENSG00000025434",10062
"TYMP","TYMP","ENSG00000025708",1890
"NCAPH2","NCAPH2","ENSG00000025770",29781
"TOMM34","TOMM34","ENSG00000025772",10953
"SEC63","SEC63","ENSG00000025796",11231
"KPNA6","KPNA6","ENSG00000025800",23633
"VIM","VIM","ENSG00000026025",7431
"RTEL1-TNFRSF6B","RTEL1-TNFRSF6B","ENSG00000026036",NA
"FAS","FAS","ENSG00000026103",355
"RNASET2","RNASET2","ENSG00000026297",8635
"CD44","CD44","ENSG00000026508",960
"KCNG1","KCNG1","ENSG00000026559",3755
"AGPAT4","AGPAT4","ENSG00000026652",56895
"SLAMF7","SLAMF7","ENSG00000026751",57823
"BTN3A1","BTN3A1","ENSG00000026950",11119
"MIPEP","MIPEP","ENSG00000027001",4285
"PRKCH","PRKCH","ENSG00000027075",5583
"INSRR","INSRR","ENSG00000027644",3645
"IFNGR1","IFNGR1","ENSG00000027697",3459
"B4GALT7","B4GALT7","ENSG00000027847",11285
"SH2D2A","SH2D2A","ENSG00000027869",9047
"VRK2","VRK2","ENSG00000028116",7444
"TNFRSF1B","TNFRSF1B","ENSG00000028137",7133
"VEZT","VEZT","ENSG00000028203",55591
"POU2F2","POU2F2","ENSG00000028277",5452
"BRD9","BRD9","ENSG00000028310",65980
"SNX1","SNX1","ENSG00000028528",6642
"TBPL1","TBPL1","ENSG00000028839",9519
"ARNTL2","ARNTL2","ENSG00000029153",56938
"BCLAF1","BCLAF1","ENSG00000029363",9774
"SLC39A9","SLC39A9","ENSG00000029364",55334
"ANK1","ANK1","ENSG00000029534",286
"IBSP","IBSP","ENSG00000029559",3381
"TFB1M","TFB1M","ENSG00000029639",51106
"RABEP1","RABEP1","ENSG00000029725",9135
"HMGB3","HMGB3","ENSG00000029993",3149
"NUP160","NUP160","ENSG00000030066",23279
"BAK1","BAK1","ENSG00000030110",578
"MUSK","MUSK","ENSG00000030304",4593
"IKZF2","IKZF2","ENSG00000030419",22807
"GRN","GRN","ENSG00000030582",2896
"FAM13B","FAM13B","ENSG00000031003",51306
"ARHGAP31","ARHGAP31","ENSG00000031081",57514
"ENSG00000031544","ENSG00000031544","ENSG00000031544",NA
"CENPQ","CENPQ","ENSG00000031691",55166
"SARS","SARS","ENSG00000031698",6301
"RANBP3","RANBP3","ENSG00000031823",8498
"ARID4A","ARID4A","ENSG00000032219",5926
"TSSC1","TSSC1","ENSG00000032389",7260
"PNPLA6","PNPLA6","ENSG00000032444",10908
"IFT88","IFT88","ENSG00000032742",8100
"ALG1","ALG1","ENSG00000033011",56052
"ZCCHC8","ZCCHC8","ENSG00000033030",55596
"ABCF2","ABCF2","ENSG00000033050",10061
"CHPF2","CHPF2","ENSG00000033100",54480
"LRRC7","LRRC7","ENSG00000033122",57554
"FUT8","FUT8","ENSG00000033170",2530
"UBA6","UBA6","ENSG00000033178",55236
"GAB2","GAB2","ENSG00000033327",9846
"ATP6V0A1","ATP6V0A1","ENSG00000033627",535
"PIAS1","PIAS1","ENSG00000033800",8554
"SLC4A7","SLC4A7","ENSG00000033867",9497
"APBA2","APBA2","ENSG00000034053",321
"ENSG00000034063","ENSG00000034063","ENSG00000034063",NA
"MAP2K3","MAP2K3","ENSG00000034152",5606
"EFCAB1","EFCAB1","ENSG00000034239",79645
"TMSB10","TMSB10","ENSG00000034510",9168
"ASTE1","ASTE1","ENSG00000034533",28990
"RNF19A","RNF19A","ENSG00000034677",25897
"PEX3","PEX3","ENSG00000034693",8504
"GABARAPL2","GABARAPL2","ENSG00000034713",11345
"MYOC","MYOC","ENSG00000034971",4653
"SH3YL1","SH3YL1","ENSG00000035115",26751
"FAM136A","FAM136A","ENSG00000035141",84908
"VCL","VCL","ENSG00000035403",7414
"DEPDC1B","DEPDC1B","ENSG00000035499",55789
"DAPK2","DAPK2","ENSG00000035664",23604
"NSMAF","NSMAF","ENSG00000035681",8439
"ADSS","ADSS","ENSG00000035687",159
"STAP1","STAP1","ENSG00000035720",26228
"TIMP2","TIMP2","ENSG00000035862",7077
"RFC1","RFC1","ENSG00000035928",5981
"TBC1D23","TBC1D23","ENSG00000036054",55773
"CUL3","CUL3","ENSG00000036257",8452
"MYOM2","MYOM2","ENSG00000036448",9172
"OTC","OTC","ENSG00000036473",5009
"CYP46A1","CYP46A1","ENSG00000036530",10858
"ZZZ3","ZZZ3","ENSG00000036549",26009
"SLC18A1","SLC18A1","ENSG00000036565",6570
"USP2","USP2","ENSG00000036672",9099
"CASR","CASR","ENSG00000036828",846
"TUBG2","TUBG2","ENSG00000037042",27175
"RPL26L1","RPL26L1","ENSG00000037241",51121
"FLT4","FLT4","ENSG00000037280",2324
"NSUN2","NSUN2","ENSG00000037474",54888
"FBXO42","FBXO42","ENSG00000037637",54455
"MFAP3","MFAP3","ENSG00000037749",4238
"MRI1","MRI1","ENSG00000037757",84245
"METTL1","METTL1","ENSG00000037897",4234
"HOXC8","HOXC8","ENSG00000037965",3224
"AGA","AGA","ENSG00000038002",175
"PI4K2B","PI4K2B","ENSG00000038210",55300
"BOD1L1","BOD1L1","ENSG00000038219",259282
"MAT2B","MAT2B","ENSG00000038274",27430
"TLL1","TLL1","ENSG00000038295",7092
"EDC4","EDC4","ENSG00000038358",23644
