Genes,control_1,control_2,Nutlin_1,Nutlin_2
SNX19,1345,1265,1993,1325
ARL1,1704,1734,2811,1700
LMNA,7698,7527,13143,8440
LINC00938,407,359,569,302
LINC02389,1,3,6,5
MKRN9P,56,48,78,52
C12orf76,90,86,236,159
LINC00939,0,2,10,8
LMNB1,7601,7500,1413,1042
ANKRD20A19P,11,4,6,2
LINC03033,2,7,11,5
PLEKHD1,33,33,67,56
FOXN3-AS1,40,28,56,43
DICER1-AS1,29,24,50,22
HERC2P2,621,681,750,619
LMO1,16,13,17,15
ST20,154,139,216,96
FAM174B,1535,1156,3622,1555
LOC400499,1,2,8,8
LMO2,32,15,41,24
KNOP1,2044,1937,1984,1171
CRYM-AS1,13,26,11,9
NSMCE1-DT,3,2,6,6
LOC400541,28,27,55,34
C17orf97,45,52,61,42
MED11,156,200,229,151
TOB1-AS1,74,75,176,116
LOC400627,8,8,10,3
TEX19,11,14,13,4
LINC00668,12,14,13,7
ZNF407-AS1,62,62,87,57
ZNF516-DT,23,14,34,13
LINC00683,19,11,24,18
VMAC,61,50,159,89
LINC00664,1,1,42,23
LOC400682,7,9,2,3
DPY19L3-DT,17,19,24,13
LINC01801,6,8,15,9
PRICKLE3,686,586,509,320
ZNF473CR,7,9,130,74
ZNF880,88,83,287,137
ZNF772,306,339,500,391
FAM87B,3,2,8,5
SH2D5,75,56,120,93
NCMAP,25,40,62,55
LINC01144,19,9,31,12
C1orf226,439,494,1094,785
C1orf220,17,25,47,25
LMO7,276,305,840,452
FLJ39095,1,0,14,5
NBPF9,693,758,859,677
FAM177B,7,9,6,4
BCRP2,26,26,25,13
CHCHD10,1213,914,1007,584
TPTEP2,2,3,4,3
MIRLET7BHG,28,31,49,26
LINC00898,3,11,22,19
IL17REL,34,15,69,21
LINC01376,14,7,46,11
EML6,1069,995,1160,743
PCBP1-AS1,53,56,68,47
PAIP2B,426,445,596,392
RGPD1,397,402,496,349
ANKRD36C,124,157,89,91
PHOX2A,3,3,3,5
LMX1B,1118,1112,963,681
NOC2LP2,314,299,260,154
HAGLR,223,176,177,103
FSIP2,10,18,19,14
LINC00960,82,80,130,87
FOXL2NB,4,2,11,3
MBNL1-AS1,70,65,57,46
C3orf80,11,12,2,2
LINC00885,32,23,82,57
C4orf48,272,285,355,220
LOC401127,68,66,48,32
AMTN,62,39,188,74
CCSER1,38,45,76,48
LINC01061,94,90,129,113
C4orf3,1921,1813,3532,2048
LNPEP,2137,1978,2792,1795
C5orf63,57,70,142,57
LINC01011,75,90,92,64
HTATSF1P2,143,123,137,69
CASC15,1,0,3,8
LINC01623,3,3,6,4
LINC00243,44,40,109,71
SAPCD1,11,12,4,2
RAB44,0,0,10,3
LOC401261,27,27,34,20
TRAM2-AS1,132,140,175,79
KLHL31,59,53,53,32
LINC00242,18,6,4,2
VWA5A,4,1,14,6
ZNF815P,29,37,62,59
GARS1-DT,59,77,127,102
LINC00997,153,156,147,81
RASA4CP,22,19,33,18
SMIM30,223,218,237,151
PRRT4,74,51,29,20
RAB19,97,63,234,134
OR2A20P,3,5,9,5
ATP6V0E2-AS1,43,54,34,24
RBIS,584,590,651,363
GASAL1,46,57,160,125
SAMD12,314,244,901,501
VLDLR-AS1,18,8,16,4
HACD4,15,8,20,17
LOX,8,7,7,5
TOMM5,1721,1569,1189,654
ZNF658B,36,33,92,52
CENPP,652,581,731,439
C9orf152,828,631,1922,853
SNX30,1117,1039,1362,856
WDR38,66,67,99,46
LINC02908,13,17,21,11
FAM166A,737,687,321,261
CD99P1,53,54,53,49
ZNF674-AS1,134,123,109,63
LOXL1,59,49,51,41
SLC25A53,7,10,25,7
GOLGA2P3Y,6,4,6,3
GOLGA7B,102,89,231,165
LOXL2,101,96,193,170
ZNF833P,31,31,9,10
RNF223,929,860,1146,851
LDLRAD2,63,33,80,67
ARL2,532,409,487,320
SRRD,718,679,668,436
ANAPC1P6,118,99,68,54
CFAP99,3,3,7,5
XKRX,98,76,127,75
LINC01000,509,490,771,611
KPNA7,1,1,12,5
LPP,2055,2001,3036,2473
UFSP1,45,44,57,47
IFITM10,850,673,2361,1272
ARL3,936,1136,1112,874
FOSL2-AS1,1,1,13,5
PLPP6,466,437,1142,536
LERFS,41,43,63,28
MGC70870,11,9,11,8
ZBTB34,332,431,503,393
LRCH4,933,800,1449,859
LRP1,272,259,2103,1683
LRP2,8,23,10,6
LRP3,1847,1568,1758,1097
LRP4,58,55,20,22
LRP6,1167,1169,1334,987
CUEDC1,1185,1181,3365,2063
LRP5,1901,1680,2184,1445
WDFY3-AS2,82,57,68,46
CTXN1,710,582,590,411
C6orf201,123,122,145,106
YY2,64,54,46,36
LRPAP1,2304,2171,2854,1726
C16orf74,376,312,254,252
LSP1,9,6,7,8
DENND10,574,625,828,484
LINC01194,17,19,17,9
CACTIN-AS1,123,111,95,68
GTF2H5,379,399,641,405
LSS,2365,2116,3554,2234
ANKHD1-EIF4EBP3,2590,2662,3092,2150
POTEG,85,82,121,58
LTA4H,2206,2097,3567,2097
ARNT,1817,1950,2433,1635
CYP4F3,9,7,60,39
LTBP1,2708,2361,3550,2271
LTBP2,51,47,266,141
LTBP3,1054,847,1723,883
LTBR,3117,2263,4584,2227
LTC4S,35,19,53,35
LTK,5,4,2,7
BCAM,1797,1771,2875,1912
ARNTL,280,245,662,411
LY6E,7797,5999,6148,3533
LYL1,50,43,25,13
LYN,85,111,18,24
MIR149,10,7,34,14
MIR21,0,2,16,7
TACSTD2,3659,3199,7649,4327
MIR22,3,1,14,5
MIR25,11,19,5,5
MIR7-1,3,3,3,9
MIR93,2,8,1,1
TM4SF1,3,2,27,9
EPCAM,9771,8996,9363,5821
M6PR,2542,2405,2899,1725
CAPRIN1,9159,9266,9541,6665
NBR1,1548,1387,3000,1810
LOC407835,239,220,273,168
MIR17HG,40,36,10,9
TNFSF12-TNFSF13,29,38,51,38
ARRB1,2076,1462,3444,1602
CDRT15P3,3,3,5,5
NOMO3,5906,5567,6655,4410
LOC408186,7,9,4,2
MARCKS,1840,1737,1741,1072
MXD1,318,288,871,530
MAD2L1,2188,1813,189,178
SMAD1,471,418,536,330
SMAD2,1457,1426,1651,1074
SMAD3,1517,1292,3913,2294
SMAD4,317,331,372,205
ARRB2,668,584,542,285
SMAD5,1927,1732,3460,2062
SMAD6,1022,1267,598,510
SMAD7,234,239,295,259
SMAD9,61,85,42,38
MAF,192,197,648,359
MAFG,682,681,656,393
MAG,43,22,156,75
ASIC1,193,158,230,137
ARSA,144,151,541,316
ARSB,678,670,645,389
MAGOH,1016,997,934,448
MAK,16,10,13,13
MAL,3,2,14,13
STS,468,559,535,461
MAN1A1,1986,2883,2165,2041
MAN2A2,2120,1873,2706,1705
MAN2C1,1427,1151,2375,1527
MAN2A1,2346,2111,2200,1491
MAN2B1,950,944,1869,1236
MANBA,452,459,785,520
MAOA,40,34,160,76
MAOB,13,18,17,17
MAP1A,57,58,59,43
MAP1B,75,64,146,112
MAP2,18,31,118,79
MAP4,6461,6166,7621,5297
MAP6,24,36,94,64
MAPT,388,421,422,317
MARK1,38,44,16,17
ARSD,743,746,1772,1107
MARK3,2762,2635,4345,2626
TBC1D3B,10,9,28,15
TBC1D3C,16,20,36,26
MARS1,8194,6888,7273,4032
ACBD7,780,769,1927,1001
AGAP6,105,74,94,68
ZNF32-AS1,37,37,50,33
ZNF32-AS2,44,43,59,37
GLUD1P2,37,35,50,26
AGAP12P,64,54,64,48
C10orf55,23,26,92,55
SHLD2P1,325,322,324,229
LINC00595,1,0,15,19
DNAJC9-AS1,86,64,47,31
MAT1A,12,6,24,19
LINC02913,7,7,19,15
IDNK,131,159,155,81
MAT2A,6402,5799,6265,3530
MATK,730,590,404,246
MATN1,6,5,7,4
MATN2,701,814,1015,840
HCG15,16,20,12,15
BMS1P18,46,47,75,53
HCG25,116,118,125,87
HCG18,734,637,910,579
HCG17,8,6,8,5
MATN3,63,53,102,63
MAX,969,940,1291,757
DENND6B,101,74,134,119
C8orf82,954,864,878,593
MAZ,11966,11026,8880,5638
MB,439,461,983,578
PIM3,2216,1741,1811,1077
STX19,2,1,4,5
MBD1,567,557,628,413
MBNL1,2231,2241,1909,1292
MBP,389,429,395,236
MC1R,254,200,446,338
MCAM,188,212,173,153
MCC,57,68,404,213
CHST6,5,2,1,4
MCF2,2,2,7,3
MCL1,6222,6449,10704,7333
MCM2,5927,5046,504,402
MCM3,7825,7982,1836,1610
MCM4,7268,7081,1846,1233
MCM5,3890,3493,582,453
MCM6,5458,5341,1620,1063
MCM7,10118,9061,1724,1302
CD46,3615,3533,5608,3369
ADAM11,128,121,60,28
DNAJB9,266,269,456,299
MDH1,4343,4533,5350,3404
MDH2,7497,6504,9297,5624
MDK,1802,1360,1703,1021
MDM2,3886,3668,49646,24168
MDM4,1150,1088,1942,1266
ME1,3714,3534,4860,2901
ME2,383,308,311,219
MEA1,2219,2198,1734,1161
MECP2,1842,1911,2315,1663
MEF2A,753,744,951,611
BORCS8-MEF2B,139,119,184,110
MEF2D,805,669,1906,804
ARVCF,777,740,1674,1155
MEIS1,165,148,219,167
MEIS2,406,354,308,199
MEIS3P1,285,251,325,243
MAP3K1,972,1159,2495,2030
MAP3K3,1649,1669,1704,1081
MAP3K4,835,798,785,532
MAP3K5,574,581,644,340
RAB8A,3433,3249,3675,2025
MEN1,1283,1187,997,665
MEST,2684,2388,2493,1424
MET,1321,1375,1260,825
METTL1,1054,906,723,419
MFAP1,924,886,1133,701
MFAP2,19,19,17,6
MFAP3,1298,1402,1765,1233
MFAP4,4,4,2,3
MFGE8,177,146,564,260
MELTF,224,191,135,75
MFNG,6,8,5,1
MGAT1,2014,1879,2025,1175
MGAT2,907,855,896,586
MGAT3,5,8,8,9
MGAT5,2475,2452,2387,1573
MIA2,1064,915,1333,740
KITLG,976,959,1866,1337
MGMT,638,517,897,549
MGP,64,98,185,101
MGST1,3392,3030,4234,2330
MGST2,437,361,907,442
MGST3,687,786,1144,690
CIITA,246,275,279,182
CD99,2744,2721,2900,2016
ASAH1,2195,2144,3192,1936
MICB,86,76,246,148
MID1,11,18,20,22
MIF,4301,3594,4458,2820
MIP,3,2,5,3
MIPEP,596,481,875,424
MITF,189,138,445,192
ATXN3,404,412,1027,547
MKI67,15114,15066,864,893
MKLN1,1280,1248,1500,992
MLF1,258,325,429,228
MLH1,1743,1812,1228,819
MAP3K9,1079,1068,1688,1181
MAP3K10,249,215,350,265
MAP3K11,1837,1555,2014,1342
KMT2A,4037,4639,3827,4044
MLLT1,2315,2190,1934,1278
AFF1,1152,1182,1550,1062
ACHE,20,21,181,68
ASCL2,627,534,614,431
MLLT3,385,403,591,399
AFDN,2966,2923,2858,2076
MLLT6,1858,1576,1737,1030
FOXO4,36,46,56,44
MME,3,5,16,7
ASTL,6,16,6,16
MMP9,76,60,93,40
MMP11,22,16,27,12
MMP14,17,1,15,8
MMP15,1155,980,1120,682
MMP16,1932,2443,746,707
MMP17,640,660,437,403
MMP19,79,77,156,109
ALDH6A1,1769,1571,2064,1080
MN1,8,4,15,12
MNAT1,666,734,779,547
MNT,541,414,733,364
MOCS1,135,133,174,130
MOCS2,1366,1308,1374,960
MOV10,2994,2887,7192,4017
ASL,942,875,1334,844
MPG,1145,1104,1633,1007
MPI,859,752,1349,927
MPL,10,4,27,4
MPP1,8,4,1,1
MPP2,200,201,168,104
MPP3,183,173,179,138
MPST,640,505,637,383
MPV17,1165,1135,1975,1266
MRE11,660,691,372,251
ABCC1,1853,1682,3948,2441
ASMT,39,33,33,24
KLK14,11,6,3,3
GET3,2471,2309,4569,2553
MXRA7,55,55,108,77
THAP7-AS1,76,74,100,56
SHLD2P3,697,668,618,402
LINC00857,36,30,81,55
LINC00863,86,91,141,65
ASNS,1358,1007,1389,585
KRTAP5-2,34,30,47,44
TMEM41B,499,497,530,404
LINC02709,12,8,6,0
SLC22A20P,7,6,24,11
PRDM10-DT,12,7,15,8
FAM66C,12,17,32,21
DDX12P,894,789,204,142
H3-5,5318,4765,4631,2680
TMEM198B,501,347,1089,607
ALG11,531,567,832,552
MZT1,919,768,344,205
LINC02893,5,3,9,7
CCDC88C,1271,993,1354,836
HERC2P9,310,306,342,258
WHAMMP2,59,61,57,43
GOLGA8B,281,261,538,342
EIF2AK4,1358,1305,1693,1049
CATSPER2P1,10,22,21,13
UBL7-DT,101,93,72,42
COMMD4P1,63,64,66,40
GOLGA6L9,101,114,147,108
DNM1P41,20,22,23,18
LOC440300,108,115,151,97
TTLL13,8,7,12,3
LOC440311,136,134,328,174
SMIM22,12,10,33,17
NPIPB4,318,319,307,255
NPIPB15,104,87,150,126
SNX29P2,12,13,25,15
NPIPB12,283,269,268,204
SMG1P2,655,629,602,401
YBX3P1,149,122,254,166
RNASEK,525,454,713,442
CCDC144NL-AS1,24,21,14,12
SUZ12P1,211,281,202,158
NPEPPSP1,418,433,538,347
GPR179,7,2,8,11
TBC1D3P2,4,5,7,7
PLEKHM1P1,274,278,617,410
ARHGAP27P2,56,45,119,65
BAIAP2-DT,417,410,515,355
ANKRD20A5P,79,69,108,48
HSBP1L1,113,106,188,105
PLIN5,72,51,58,58
ZNF506,113,108,202,120
ZNF724,238,257,70,45
PSG8,2,1,13,13
PRDM16-DT,17,11,11,6
HNRNPCL2,94,90,88,49
UQCRHL,882,847,1063,619
LOC440570,10,6,7,4
MICOS10,1292,1343,1623,1085
SLC2A1-DT,11,17,33,26
FAM183A,4,7,13,9
ZYG11A,375,424,317,215
RBM15-AS1,6,6,2,0
BCL2L15,16,21,51,19
NUDT4B,777,686,932,559
H3-7,10,13,39,27
H2BC18,35,29,114,83
ETV3L,12,12,17,11
TRIM67,2,2,2,6
RIMBP3B,24,19,12,16
MIAT,19,20,16,13
SHISA8,363,295,528,322
ODF3B,5,6,15,12
CAPN14,1,4,6,11
LINC01123,264,252,408,273
FAR2P1,165,190,221,205
LOC440910,38,33,44,44
POTEKP,31,30,37,44
FLJ46875,135,127,190,114
H3P6,1462,1494,1724,1151
CT75,8,7,9,5
THUMPD3-AS1,560,541,603,330
EIF1B-AS1,6,2,10,1
SMIM4,418,369,432,233
MIR570HG,41,43,43,34
MTHFD2L,223,151,158,82
TMEM150C,1450,1627,1834,1292
GUSBP5,71,61,51,26
LOC441052,5,6,4,1
C4orf47,2,4,8,5
IL6ST-DT,5,5,7,6
LOC441081,3,3,4,4
LOC441086,2,7,7,6
CRSP8P,178,199,182,109
NR2F1-AS1,15,16,7,3
IRF1-AS1,8,7,11,5
GTF2IP20,111,93,123,87
C6orf226,135,124,242,140
LOC441155,575,605,710,543
OOEP,9,5,7,6
CALHM6,70,55,70,34
NHSL1-AS1,20,19,22,11
LINC00602,5,5,3,3
LOC441179,6,4,1,2
RNF216P1,282,262,293,202
PMS2CL,241,220,326,176
LINC02981,8,11,10,6
ZNRF2P1,50,41,48,26
RP9P,158,164,120,68
LINC03006,50,53,81,43
TYW1B,237,234,266,162
SPDYE7P,3,3,6,5
DTX2P1-UPK3BP1-PMS2P11,101,86,190,102
SPDYE3,80,94,87,67
SPDYE2,52,48,52,69
CTAGE15,24,20,36,19
OR2A9P,3,4,8,6
PDGFA-DT,15,20,51,38
MIR2052HG,4,2,10,4
AARD,93,125,60,48
LRRC24,271,260,374,284
SUGT1P1,35,30,42,25
PTMAP11,78,78,73,39
LOC441455,32,27,36,23
NUTM2G,14,11,7,10
ANKRD18B,300,255,240,192
STX17-DT,14,16,30,12
STPG3,22,19,27,10
NRARP,1298,1053,434,290
RPS26P11,288,268,326,187
RTL8B,911,900,1275,807
CT45A3,70,58,69,38
CT45A5,98,80,98,61
PGAM4,1231,1229,1250,842
CDNF,10,5,34,29
SEPTIN7P11,37,34,33,29
PRKXP1,35,44,147,74
WBP11P1,87,89,62,47
ANKRD65,0,0,7,6
CALR4P,26,28,45,22
NBPF18P,6,6,9,5
ZFAS1,1493,1326,2258,1238
EMC3-AS1,423,389,212,156
GALNTL6,17,15,10,8
SLC25A51P1,4,4,7,6
GSTM2P1,12,10,13,7
ZNF727,5,3,6,2
PTGER4P2-CDK2AP2P2,41,36,27,27
UQCRBP1,263,245,436,236
DPY19L2P3,11,10,12,6
STAG3L3,174,165,211,146
STAG3L2,283,290,367,250
SPDYE5,15,16,23,21
EIF3IP1,5,2,8,5
MIR324,12,13,17,4
ASPA,0,0,8,8
MYO1B,5880,5431,15962,10400
MSH2,2242,2501,1047,709
MSH3,991,869,1056,630
MSH5,77,79,43,34
ASPH,2110,1939,2623,1384
MSI1,724,669,609,343
ASS1,4746,3817,4473,2344
ARHGEF35,450,455,614,329
SULT1A4,291,268,339,222
TARP,182,126,218,99
TRIM6-TRIM34,52,52,120,68
CBWD3,1518,1610,1624,1151
C9orf129,442,369,465,298
POTEE,521,480,603,390
PALM2AKAP2,9,6,32,13
MSMB,86,40,309,85
MSRA,310,289,436,246
MST1,40,32,65,39
MST1R,152,121,173,163
MSX1,76,62,68,47
MSX2,929,978,3370,2133
MT1F,38,44,17,16
MT1G,55,28,20,8
MT1X,244,178,123,60
MT2A,1974,1303,684,288
MTAP,30,23,49,19
ATP6,38104,41672,56911,37170
ATP8,12421,14204,20563,10879
TRNC,1314,1269,2567,1669
COX1,106949,110538,173546,119918
COX2,98058,108141,160473,112497
COX3,43666,44066,67819,44326
MTCP1,92,99,99,50
CYTB,65916,71954,116161,79471
MTF1,1131,1034,1447,905
NUDT1,912,836,427,284
MTHFD1,10677,10279,5198,3458
MTHFR,232,241,411,269
MTIF2,2040,1940,2450,1579
MTM1,399,435,566,405
ND1,35471,37072,58052,36604
ND2,45292,45076,67255,42509
ND3,14786,13972,22643,12564
ND4,158531,161824,241823,155219
ND4L,31132,34307,51827,32936
ND5,104303,114091,178143,111618
ND6,41308,46903,72637,41436
MYO1F,23,15,58,31
MTR,1391,1275,1141,767
RNR1,14488,16716,27628,20299
RNR2,102462,115128,259857,164929
MTRR,541,550,457,301
TRNA,1378,1317,2741,1634
TRND,41,58,30,53
TRNE,1449,1590,2659,1613
TRNF,71,71,93,56
TRNG,117,114,151,131
TRNH,148,144,171,183
TRNI,102,88,136,55
TRNK,31,23,47,33
TRNL1,411,439,758,424
TRNL2,271,228,196,295
TRNM,74,64,42,51
TRNN,1534,1423,2985,1826
TRNP,740,721,1129,669
TRNQ,58,43,49,33
TRNR,81,76,81,81
TRNS1,821,877,254,986
TRNS2,269,241,230,320
TRNT,178,164,303,146
TRNV,74,88,137,83
TRNW,128,121,199,77
TRNY,1454,1442,3039,1841
MTX1,596,570,694,424
MUC1,1102,863,994,575
MUC2,32,10,163,79
MUC3A,14,12,48,36
MUC5AC,5,8,27,27
MUC6,1,2,7,6
TRIM37,33677,32398,45538,26795
MMUT,1026,1185,1076,589
MUTYH,455,385,339,200
MVD,2473,2122,2834,1801
MVK,798,607,671,425
MX1,45,37,85,60
MX2,5,2,3,5
MXI1,322,339,497,324
MYB,892,812,1058,707
MYBL1,313,362,73,86
MYBL2,6403,5991,776,638
MYC,2300,1543,2009,970
MYCL,97,71,97,47
MYCN,23,20,6,7
MYD88,862,848,1438,883
GADD45B,563,593,590,471
MYH3,6,2,5,6
MYH9,7042,6691,10282,8292
MYH10,1700,1771,1552,1154
MYH11,79,76,117,61
ZFHX3,2802,2902,4119,3570
MYL5,676,556,858,487
MYL6,11230,11800,19085,12860
MYLK,168,148,145,118
MYO1A,1,1,26,9
MYO1C,6928,5948,7424,4378
MYO1D,2158,2113,3041,1795
MYO1E,634,474,1765,913
MYO5A,4025,4285,6709,4448
MYO5B,824,803,1009,664
MYO6,5500,5822,9335,5962
MYO7A,30,33,76,54
MYO7B,0,2,4,5
MYO9A,1129,1151,1213,992
MYO9B,1617,1613,2096,1304
MYO10,943,899,1574,1003
PPP1R12A,2616,2607,3090,2058
ATF1,946,866,984,574
PPP1R12B,763,898,995,815
MYT1,7,3,1,4
NAB1,633,528,431,295
NAB2,1380,1296,1348,900
NACA,11498,10496,15413,9092
NAGA,680,640,509,322
NAGLU,522,488,716,534
ATF3,96,84,151,90
HNRNPM,10263,9889,8004,5328
NAIP,117,129,209,144
NAP1L1,9906,9831,10583,6270
NAP1L2,62,50,86,41
NAP1L4,2590,2667,2762,1778
NARS1,4998,4615,4997,3088
NASP,3220,3255,1178,867
ATF4,6550,5825,7189,3953
CEACAM6,90,39,438,99
NBL1,187,191,85,66
NUBP1,560,486,571,354
NBN,4474,4261,4702,2873
NCAM1,15,16,17,8
NCAM2,3249,3349,4386,2970
NCBP1,3389,3432,2981,2112
NCF2,0,0,6,6
NCF4,8,1,10,8
NCK1,496,508,588,380
NCL,22515,20669,16161,9920
NDUFA1,2909,2845,3991,2320
NDUFA2,1050,981,1517,915
NDUFA3,1146,1033,1387,903
NDUFA4,3374,3328,4847,2941
NDUFA5,1162,1022,980,647
ACLY,7007,5995,7396,4534
NDUFA6,1715,1593,1643,1017
NDUFA7,611,593,871,472
NDUFA8,1410,1476,2097,1278
NEB,186,278,352,447
NDUFA9,1645,1574,1812,1078
NDUFA10,2894,2681,3078,1961
NDUFAB1,2903,2821,2995,1884
NDUFB1,1024,994,1533,917
NDUFB2,2188,1958,2744,1713
NDUFB3,1399,1415,1781,1038
ATIC,6718,6183,7932,4838
NDUFB4,2050,2089,2940,1857
NDUFB5,1670,1549,2153,1311
NDUFB6,1139,1019,1112,658
NDUFB7,1449,1247,1429,878
NDUFB8,1452,1438,1926,1082
NDUFB9,6234,5616,6473,4021
NDUFB10,4999,4124,4689,2794
NDUFC1,1464,1355,1709,1073
NDUFC2,2067,2119,2567,1652
NDUFS1,5722,5427,6499,3891
ATM,680,719,844,607
NDUFS2,3497,3275,4529,2933
NDUFS3,3094,3136,2957,1837
NDUFV1,2779,2397,2698,1664
NDUFS4,760,718,1045,599
NDUFS5,3567,3700,5029,3220
NDUFS6,1455,1238,1633,880
NDUFS8,1282,1135,1387,818
NDUFV2,2209,2130,2603,1656
RERE,1631,1535,1757,1322
NDUFV3,1219,1147,1686,951
DRG1,2152,2133,1972,1258
NEDD4,2850,2781,3033,1851
SEPTIN2,10150,9896,11355,7419
RPL10A,8159,7312,11236,6617
NEDD8,2208,2134,2535,1546
NEDD9,163,156,1029,489
LRRC37A2,110,114,135,120
SUMO1P3,339,345,394,232
SPIN2B,191,183,269,157
F8A2,165,147,180,121
F8A3,172,151,185,124
NEFH,4,5,5,7
NEFL,2,1,11,2
ATOX1,806,823,1164,774
NEK1,409,409,421,271
NEK2,767,648,65,41
NEK3,154,191,223,135
NEO1,2676,2789,3129,2041
NEU1,833,721,1990,1091
ATP1A1,18515,17490,22194,14482
NF1,3137,3353,3795,3179
NF2,1511,1392,1684,1108
NFATC1,542,472,390,232
NFATC2,344,372,964,859
NFIA,1043,893,1351,802
NFATC3,1996,1878,2437,1498
NFATC4,45,26,107,47
NFE2,10,6,16,13
NFE2L1,7565,6384,7239,4298
ATP1A3,136,121,72,42
NFE2L2,2046,2079,2582,1698
NFIB,1326,1366,1251,1032
NFIC,3182,2804,2592,1708
NFIL3,335,312,330,205
NFIX,395,301,198,92
NFKB1,1741,1676,1668,1046
NFKB2,1196,902,1219,722
NFKBIA,1592,1533,2435,1552
NFKBIB,641,650,526,318
NFKBIE,216,201,272,172
NFKBIL1,232,239,341,211
TONSL,2648,2439,449,354
NFRKB,823,806,1085,715
NFX1,1513,1359,2246,1229
ACO1,766,804,1395,911
NFYA,997,1040,1106,850
NFYB,1003,1009,757,548
NFYC,1048,866,1367,836
NGFR,40,23,93,27
NHLH1,5,0,7,2
NHLH2,4,2,159,61
SNU13,2251,1993,2179,1296
ATP1B1,1484,1622,1949,1240
NHS,245,204,438,319
NINJ1,2307,2226,4126,2727
NINJ2,10,8,21,10
NIT1,627,648,955,611
ATP1B2,9,6,3,1
NKTR,1246,1397,1432,1128
NKX2-2,8,5,2,0
NKX3-1,172,154,189,122
NNAT,34,15,30,25
NMB,136,121,159,92
ATP1B3,2311,2173,2143,1377
NME1,5640,4975,7589,4106
NME2,10125,8811,10078,5931
NME3,1565,1149,1761,1005
NME4,5200,4520,5029,3265
NQO2,616,596,461,279
NMT1,2166,2059,2251,1423
NOP2,3046,2594,2746,1622
NONO,5855,5760,6113,3793
NOS3,9,2,29,3
CNOT2,1789,1790,2481,1440
CNOT3,2480,2234,2401,1637
CNOT4,1132,1134,1515,1138
NOTCH1,1567,1216,2546,1742
NOTCH2,7458,7302,7555,5603
NOTCH3,7149,6789,8806,6510
NOTCH4,14,9,9,6
CCN3,17,15,26,7
NOVA2,2,3,10,6
PNP,2641,2436,2635,1550
NPAS1,12,5,54,28
NPAS2,188,168,351,227
NPAT,378,406,288,190
NPC1,904,911,1102,739
NPHP1,18,15,18,13
NPM1,24938,22420,19950,11468
ATP2A1,85,67,94,46
NPPA,6,3,6,5
ATP2A2,10547,9365,10017,6220
NPPC,10,16,10,8
NPR1,6,7,9,3
NPR2,53,37,69,43
NPR3,1574,1527,549,422
NPTX1,71,62,10,11
NPY1R,337,1190,1052,2103
NPY5R,18,27,34,63
ATP2A3,4382,3425,5535,3208
SLC11A2,2959,2946,5416,3883
NRAS,14736,14120,17705,11169
NRCAM,1553,1762,2321,1994
NRDC,5723,5781,6465,4114
NRF1,517,531,492,311
ATP2B1,4280,3934,6540,3835
NRGN,148,132,28,15
NRL,74,64,80,36
NRTN,22,27,10,7
YBX1,17455,15650,14363,8476
NSF,1609,1506,2512,1478
NT5E,61,70,371,361
NTF4,11,8,28,26
NTHL1,806,660,551,345
NTRK2,1,0,15,10
NTN3,9,4,5,2
ROR1,34,38,31,17
ROR2,989,866,828,516
DDR2,12,9,15,11
NTSR1,138,85,547,227
GEMIN8P4,27,34,11,13
IGIP,137,125,163,161
NUCB1,1360,1203,1675,1161
NUCB2,2148,2333,3805,2205
NUMA1,10065,9497,13484,8831
NUP88,1319,1336,956,683
NUP98,3508,3400,3038,2088
NR4A2,265,260,420,215
ATP2B4,744,856,1251,1127
NVL,870,984,1094,715
GPR143,73,86,108,76
COA5,644,590,1005,541
RABGEF1P1,347,329,379,238
OAS1,40,24,84,45
HCG11,349,311,487,309
CISD2,695,672,633,351
CCDC73,231,200,302,175
EID3,2,3,4,6
GPX8,404,366,291,182
OAS2,16,9,22,16
TMEM9B-AS1,10,14,23,15
PHOSPHO2,85,85,122,101
OAS3,1616,1290,809,573
RBMXL1,1153,1137,1045,690
NFYCP2,13,5,8,12
SLC25A51P4,3,7,7,5
CHAC2,345,276,179,90
OAT,3983,3480,4135,2102
TBC1D25,322,308,418,287
RNF165,20,11,13,3
PJVK,9,13,16,12
TYMSOS,195,210,485,269
WEE2,6,5,7,6
OAZ1,10328,9421,9845,6422
OAZ2,1724,1772,2262,1617
OCRL,1853,1849,2506,1554
ODC1,5502,4471,2633,1505
ODF2,3947,3705,2229,1311
OGDH,3748,3226,4386,3014
OGG1,554,585,505,338
CLEC18B,11,6,44,19
C18orf61,10,10,18,11
OPA1,4646,4510,4499,2839
C18orf32,275,297,488,324
ATP5F1A,11731,11361,13953,9451
TNFRSF11B,13,7,34,10
OPHN1,229,241,599,402
ZBTB21,653,648,890,644
SCAPER,231,268,207,142
WRAP73,499,432,696,399
CLDN20,2,4,4,4
OPRL1,28,16,14,11
OR1F1,8,7,15,11
ORC1,1139,1038,80,91
ORC2,2082,2082,1948,1302
ACO2,2592,2264,3356,2124
ORC4,1183,1265,1491,947
ORC5,719,643,618,375
SLC22A18,278,217,540,288
SLC22A18AS,21,19,26,15
OSBP,1894,1827,2491,1485
ALDH7A1,2248,2340,5817,3239
OTX1,197,136,127,102
OVGP1,17,9,28,11
OVOL1,335,387,374,246
OXA1L,2814,2548,4087,2390
OXCT1,3697,3626,2597,1625
OXTR,55,41,217,88
P2RX4,825,759,694,452
P2RX5,125,95,113,55
P2RX7,14,6,13,11
