Genes,control_1,control_2,Nutlin_1,Nutlin_2
NPIPB9,244,226,281,180
TNKS2-DT,22,27,25,17
LOC100507634,19,17,32,9
LINC03014,13,11,10,7
RNF212B,5,4,21,7
ZNF687-AS1,23,21,34,24
MARK2P9,7,8,3,2
C13orf46,24,8,42,29
GMDS-DT,4,4,18,17
SMC4,7161,7633,1943,1304
TBC1D3JP,5,4,12,7
LY75-CD302,66,70,72,40
ARPC4-TTLL3,893,860,1337,785
MSANTD3-TMEFF1,238,235,189,155
RBM14-RBM4,1111,1004,1163,787
CENPS-CORT,164,140,62,37
ATP5MF-PTCD1,1520,1374,1666,1017
ABHD14A-ACY1,357,291,494,285
RNF103-CHMP3,1547,1606,3167,1736
STIMATE-MUSTN1,66,46,71,39
ARPIN-AP3S2,929,884,1252,733
NT5C1B-RDH14,174,171,271,162
CAHM,5,0,12,1
INMT-MINDY4,18,17,6,6
SLX1A-SULT1A3,602,593,649,404
SLX1B-SULT1A4,574,570,631,394
PHOSPHO2-KLHL23,193,209,83,60
SEPT5-GP1BB,71,60,67,50
FPGT-TNNI3K,17,18,37,18
BLOC1S5-TXNDC5,2914,2643,2479,1520
EEF1E1-BLOC1S5,411,429,457,267
RPL17-C18orf32,2907,2845,4161,2375
TGIF2-RAB5IF,1352,1260,1411,906
GJA9-MYCBP,662,639,763,538
MROH7-TTC4,320,312,328,190
PMF1-BGLAP,267,270,234,151
LHX4-AS1,78,68,96,68
TLCD4-RWDD3,75,85,87,59
BORCS7-ASMT,80,80,107,64
TMX2-CTNND1,3068,3112,5437,3455
ARL2-SNX15,386,362,396,243
HSPB2-C11orf52,66,73,188,103
ST20-MTHFS,311,277,305,175
BLOC1S1-RDH5,301,310,353,213
POC1B-GALNT4,302,293,442,299
FKBP1A-SDCBP2,104,114,155,105
ARMCX5-GPRASP2,280,276,390,277
NEDD8-MDP1,1222,1247,1492,914
BCL2L2-PABPN1,2138,2013,2213,1368
SERF2-C15ORF63,2532,2307,3365,1722
RPL36A-HNRNPH2,4001,3984,6202,3640
CORO7-PAM16,737,573,748,421
TEN1-CDK3,249,251,298,198
RAD51L3-RFFL,212,214,244,149
RNASEK-C17orf49,667,612,842,557
TMEM256-PLSCR3,259,240,506,343
ZNF559-ZNF177,10,9,11,4
RPS10-NUDT3,4429,4060,5518,3414
ZNF816-ZNF321P,132,141,220,122
HSPE1-MOB4,2637,2623,2263,1376
CKLF-CMTM1,55,82,23,25
SYNJ2BP-COX16,742,741,1024,640
CHURC1-FNTB,580,557,711,440
MIA-RAB4B,76,65,195,101
RAB4B-EGLN2,828,675,959,527
ZNF625-ZNF20,79,92,223,152
AP1M2,3522,3141,5113,3250
NPHP3-ACAD11,240,284,402,347
NDUFC2-KCTD14,1345,1371,1625,1038
COMMD3-BMI1,1517,1528,1467,945
MSH5-SAPCD1,95,99,46,37
INO80B-WBP1,937,848,2708,1519
MICOS10-NBL1,451,464,430,253
ATP6V1G2-DDX39B,2722,2671,2754,1762
PIR-FIGF,454,475,502,318
