Genes,sc20_a,sc20_b,siA5_a,siA5_b,siP53_a,siP53_b,siA5_siP53_a,siA5_siP53_b
RPL7AP30,21,19,14,27,36,21,31,30
RPL7AP31,5,3,3,1,10,8,4,2
RPL7AP39,58,53,59,52,75,63,103,123
RPL7AP43,13,3,7,29,21,10,0,8
RPL7AP50,13,8,13,8,11,8,13,13
RPL7AP6,259,346,278,188,462,291,430,362
RPL7AP60,0,6,6,2,1,14,0,0
RPL7AP62,20,20,23,15,35,20,30,17
RPL7AP63,11,1,18,11,6,21,13,16
RPL7AP66,37,17,31,18,36,32,36,34
RPL7AP70,28,16,46,25,33,29,33,31
RPL7L1,9436,8195,9378,10476,9259,8640,9280,10439
RPL7P1,89,92,98,80,130,89,125,115
RPL7P10,6,5,1,1,4,0,4,0
RPL7P16,10,7,5,8,13,5,2,5
RPL7P23,25,30,12,16,22,9,14,17
RPL7P24,0,10,1,2,5,1,1,4
RPL7P32,5,0,3,3,2,1,7,0
RPL7P47,1,1,6,2,4,4,2,0
RPL7P50,9,5,0,3,4,2,2,8
RPL7P9,111,181,152,119,163,127,192,180
RPL8,122449,95296,113958,92871,133794,115805,109448,121818
RPL8P3,13,6,20,8,20,3,2,9
RPL8P4,6,4,6,0,2,3,5,1
RPL8P5,2,4,14,4,0,5,0,3
RPL9,19240,18634,16606,18564,27389,19743,20634,22609
RPL9P7,3,0,0,0,2,5,9,4
RPL9P8,273,203,192,167,327,265,244,253
RPLP0,140349,121318,113573,121751,190514,149333,142038,153647
RPLP0P2,42,34,69,120,20,14,22,13
RPLP0P3,0,6,7,5,2,0,0,0
RPLP0P6,456,441,494,368,742,486,718,643
RPLP1,56261,39810,45647,42625,62895,48115,47712,52792
RPLP2,35395,24378,26561,22863,41590,32516,30625,32785
RPN1,14089,12742,11646,11959,13362,12343,14583,15550
RPN2,15101,15496,14254,18920,17711,16115,18929,20077
RPP14,1581,1303,1505,1506,1277,1342,1214,1380
RPP21,64,40,61,13,25,24,21,15
RPP25,2416,2031,1566,1010,2283,1924,1605,1850
RPP25L,1571,1108,1025,1454,1999,1641,1298,1461
RPP30,1306,1003,1001,1148,1299,1210,1112,1279
RPP38,638,461,557,476,669,524,595,560
RPP38-DT,1,3,7,1,2,0,5,5
RPP40,733,730,370,838,1109,1054,892,899
RPRD1A,13751,13081,13193,13410,8894,8363,8218,9037
RPRD1B,2415,2209,1900,2142,2413,2427,2218,2571
RPRD2,4362,5125,3185,3827,2697,3239,2486,2853
RPRM,1031,701,504,728,357,331,264,302
RPRML,8,0,0,12,3,1,0,1
RPS10,381,271,230,214,372,394,335,472
RPS10P1,0,5,10,1,33,3,20,27
RPS10P11,3,7,2,1,5,3,3,2
RPS10P13,55,48,40,20,70,40,40,59
RPS10P15,4,2,14,2,1,2,3,2
RPS10P2,4,1,5,6,10,3,5,5
RPS10P26,10,8,14,4,10,12,18,12
RPS10P3,11,10,15,16,31,17,21,16
RPS10P5,20,28,24,19,9,4,5,8
RPS10P6,7,3,1,0,1,0,10,1
RPS11,55206,45482,54625,42039,59374,45962,42435,47072
RPS11P5,30,41,32,20,28,14,39,10
RPS12,25504,20945,24519,23183,36652,26744,25842,29136
RPS12P12,4,2,5,12,4,3,8,2
RPS12P29,8,9,11,6,22,8,25,7
RPS13,23435,21546,21270,24399,33729,24678,26326,27701
RPS13P2,34,24,17,12,46,25,16,24
RPS14,55184,49881,51065,48993,76842,58505,54683,61503
RPS14P1,17,6,13,3,9,7,12,21
RPS15,34145,25595,28966,29268,40103,31064,30228,33232
RPS15A,5136,4140,5845,5468,7477,5445,5813,6253
RPS15AP1,26,17,28,27,37,15,19,31
RPS15AP11,0,1,7,0,7,6,3,4
RPS15AP19,23,17,23,34,24,11,26,24
RPS15AP24,7,2,7,6,13,7,6,15
RPS15P4,65,74,106,103,122,90,104,105
RPS16,51785,41141,40972,35910,62525,48665,46038,49031
RPS16P1,28,4,16,3,20,15,12,12
RPS17,56,48,63,56,95,65,97,97
RPS17P16,15,7,9,13,13,10,16,19
RPS18,93400,81832,78045,78992,119429,89331,88832,95201
RPS18P12,44,14,16,21,25,18,27,20
RPS18P5,235,202,216,185,311,204,247,284
RPS19,60625,47287,74406,61312,71794,54169,53974,58999
RPS19BP1,4214,3205,4114,3107,4681,4031,4244,4421
RPS19P1,6,2,4,4,3,4,1,5
RPS2,242739,185856,187574,207294,296600,239984,239410,257034
RPS20,20514,17026,20060,19078,25635,18556,18861,20943
RPS20P33,4,11,13,17,3,6,10,3
RPS21,25923,20618,22888,22150,25365,21252,20614,23248
RPS23,16012,13348,11487,9932,18571,14376,14085,15326
RPS23P8,112,130,122,78,197,93,162,149
RPS24,42086,37809,37926,39642,51225,37912,35714,40165
RPS25,42573,36504,34432,36318,49537,36033,37419,41666
RPS26,9199,7478,6466,10219,13573,10188,10738,11892
RPS27,62912,51252,53877,54999,73525,54126,51987,57686
RPS27A,33011,29195,30290,31856,44183,32351,30940,34341
RPS27AP16,217,247,338,216,419,236,274,263
RPS27AP5,100,68,84,64,116,48,97,99
RPS27L,2511,2284,7861,9020,1206,893,791,1051
RPS28,24908,19335,25717,20551,28478,21861,21653,23642
RPS28P5,24,9,12,9,14,14,11,15
RPS29,17347,12130,14508,13840,23621,16057,15516,16950
RPS2P14,16,24,43,43,9,17,2,13
RPS2P17,16,8,19,11,32,6,20,21
RPS2P20,44,14,31,23,36,47,49,60
RPS2P29,26,25,11,24,37,29,21,26
RPS2P35,7,3,3,4,4,2,5,2
RPS2P4,4,7,2,13,4,7,6,1
RPS2P40,12,9,15,11,15,9,14,14
RPS2P46,58837,43601,45451,46581,67345,60919,57910,62432
RPS2P48,13,6,7,7,10,8,14,8
RPS2P5,9606,5389,12261,5513,7330,9190,7682,9444
RPS2P53,3,3,3,0,8,0,5,4
RPS2P55,111,80,103,56,138,93,153,131
RPS2P7,43,31,40,40,55,55,62,81
RPS2P8,19,21,18,15,31,33,25,32
RPS3,131039,108304,125650,102348,151216,118469,117492,129865
RPS3A,34502,30434,28580,30578,43158,32480,31360,33990
RPS3AP20,32,19,29,12,40,20,25,31
RPS3AP21,11,9,11,17,17,14,9,13
RPS3AP25,12,10,11,11,31,18,16,11
RPS3AP26,203,250,242,236,309,225,277,269
RPS3AP29,4,0,3,3,6,4,5,6
RPS3AP47,29,15,25,28,31,14,24,15
RPS3AP49,4,9,4,11,14,3,6,9
RPS3AP5,50,26,55,28,59,38,45,46
RPS3AP6,440,392,537,350,611,394,567,534
RPS3P3,91,63,93,26,61,64,66,56
RPS3P4,59,43,74,24,41,57,40,61
RPS3P5,5,9,1,6,4,2,0,5
RPS3P6,5,5,12,8,17,0,9,4
RPS4X,36271,29910,27669,24861,41849,33244,31554,34552
RPS4XP16,5,6,8,1,0,4,1,2
RPS4XP3,14,12,2,14,32,4,12,5
RPS4XP6,5,0,4,5,1,4,5,6
RPS5,42447,37456,40106,35923,52354,39358,37315,42270
RPS6,49492,44075,44311,41247,64301,48603,48796,54055
RPS6KA1,2052,1639,2683,1912,1475,1735,1429,1519
RPS6KA2,407,441,311,248,64,82,51,37
RPS6KA3,3089,3520,3734,4017,4083,4073,5185,5356
RPS6KA4,4028,3125,2654,3296,5130,5800,5838,6425
RPS6KA5,1133,1047,217,373,1044,1018,487,499
RPS6KB1,19232,19262,19480,21104,18032,16718,18279,20391
RPS6KB2,5865,4882,4901,5270,5957,5518,5610,5993
RPS6KC1,750,767,940,895,560,641,656,602
RPS6KL1,1431,1451,1751,1016,787,679,727,780
RPS6P1,3,3,5,4,10,3,5,5
RPS6P10,85,64,79,49,94,69,69,80
RPS6P25,5,7,4,9,10,6,2,5
RPS7,29045,26993,28477,30796,38948,28971,30689,33372
RPS7P10,54,17,30,30,55,67,58,63
RPS7P11,42,28,38,40,50,36,55,29
RPS7P4,9,3,4,1,4,2,3,3
RPS8,46040,39209,36877,35069,56324,43527,39645,42584
RPS8P1,49,29,40,31,76,44,52,20
RPS8P8,34,17,13,31,27,26,15,16
RPS8P9,10,12,6,8,19,6,6,6
RPS9,51954,38937,47295,35063,56880,47310,43196,47916
RPS9P2,55,67,60,39,77,49,37,66
RPS9P4,80,44,46,28,88,63,69,52
RPSA,81578,71570,68444,75994,107781,84764,83616,92132
RPSAP12,29,28,27,26,39,40,58,43
RPSAP15,112,75,105,72,128,116,137,99
RPSAP17,14,11,20,7,24,14,12,20
RPSAP18,6,6,4,2,7,11,2,7
RPSAP19,65,36,49,59,86,48,73,55
RPSAP47,1243,1116,988,1176,1665,1263,1176,1322
RPSAP54,32,18,45,36,59,44,39,33
RPSAP61,2,5,6,3,9,10,6,5
RPSAP69,10,31,7,22,13,25,17,31
RPSAP8,4,5,7,9,11,11,7,5
RPTOR,1986,2150,1471,1741,1735,1821,1968,2170
RPUSD1,8823,6929,8041,5705,7006,6612,5949,6512
RPUSD2,822,717,489,594,709,644,597,711
RPUSD3,4959,4361,4029,3503,4862,4164,3453,4029
RPUSD4,1194,1156,1220,1218,1307,1206,1155,1131
RRAD,5,1,25,4,1,1,0,10
RRAGA,2946,2374,2147,2955,2504,2245,2259,2112
RRAGB,326,255,320,194,225,209,182,186
RRAGC,1008,1033,1996,916,765,788,747,677
RRAGD,415,392,617,206,187,116,112,119
RRAS,866,701,806,1034,1176,979,1225,1198
RRAS2,1782,1555,1800,2204,1814,1636,1822,1902
RRBP1,4103,3821,4782,5265,2600,3317,3507,3961
RREB1,2786,2832,2460,2396,2161,2831,2504,2767
RRM1,7401,7263,2163,3037,6136,5890,3305,3826
RRM2,11167,10412,3021,6263,12284,11527,10218,11913
RRM2B,2977,3246,9980,7633,1054,1048,818,982
RRN3,4619,4926,4207,4885,5747,4934,5599,6722
RRN3P2,3,6,6,2,2,9,2,10
RRP1,3444,2892,2423,2339,3081,3003,2822,3010
RRP12,3843,3647,3822,3196,3619,3500,4005,4102
RRP15,1728,1781,1019,1118,3107,2652,2428,2402
RRP1B,3472,3459,2443,2791,3210,3357,3381,3551
RRP36,3127,2570,2193,2658,3596,3648,3256,3625
RRP7A,5124,4333,2289,2746,3033,3158,2619,2802
RRP7BP,439,381,251,245,260,405,319,358
RRP8,1262,1074,942,1064,1196,1046,938,992
RRP9,1962,1899,1669,1700,1710,1630,1499,1715
RRS1,2168,1938,1330,1517,2645,2391,2185,2357
RSAD1,4170,3762,3898,2321,3710,3226,2826,3027
RSBN1,3915,3728,4006,4044,2891,2797,3003,3413
RSBN1L,2254,2155,1895,1776,2042,1833,1478,1877
RSF1,2590,2961,3001,3173,2452,2575,2396,2754
RSKR,5,7,5,6,4,4,2,9
RSL1D1,13223,12475,11140,12104,15391,12664,13077,14344
RSL1D1-DT,12,1,10,7,21,10,9,9
RSL24D1,5637,5271,5288,6381,6341,5036,5120,5748
RSPH1,40,47,10,57,30,14,8,5
RSPH3,400,434,342,405,237,258,181,200
RSPH9,7,14,10,11,21,15,8,5
RSPO1,35,46,4,25,19,12,13,14
RSPRY1,1355,1498,1598,1955,1818,1601,1749,1683
RSRC1,1471,1417,1047,1186,1429,1290,1150,1168
RSRC2,2686,2415,2073,1635,3029,2685,2367,2635
RSRP1,1097,882,1358,925,931,806,861,908
RSU1,3590,3037,3223,3851,2918,2615,2425,2625
RTBDN,13,3,6,5,2,0,0,0
RTCA,1097,1095,666,762,1512,1285,699,838
RTCB,6109,5509,4854,5179,5609,4910,4743,5200
RTEL1,27,36,31,20,13,23,30,15
RTEL1-TNFRSF6B,201,171,135,117,39,48,54,68
RTF1,2520,2520,2539,2892,1919,1940,1709,1844
RTF2,6456,5256,5655,5773,6048,5406,5455,6210
RTKN,3904,3348,2101,2480,2303,2655,1828,2122
RTKN2,608,604,226,316,835,837,441,505
RTL10,1210,1296,1229,1680,953,1062,1020,999
RTL5,1,0,12,10,1,0,0,8
RTL6,5561,5223,3461,3962,3259,3569,2642,2899
RTL8A,5749,4145,4935,5819,6876,5545,5801,6209
RTL8B,3319,2611,1584,2430,2853,2454,1821,1947
RTL8C,5422,4266,4391,5784,6380,5509,5413,5681
RTN1,15,11,3,50,13,3,3,0
RTN2,308,244,261,319,274,244,108,182
RTN3,11919,10307,8658,8666,9312,7557,7367,8183
RTN4,8399,7312,10582,8214,7607,7755,8290,8887
RTN4IP1,395,399,236,502,556,482,426,457
RTN4R,564,424,319,334,320,311,225,252
RTN4RL1,2355,2063,1241,743,1298,1435,931,913
RTN4RL2,87,64,51,46,69,112,90,95
RTRAF,6063,4917,5113,6176,7287,5412,5478,6325
RTTN,495,499,206,275,326,432,302,403
RUBCN,3139,3125,3906,2480,2084,2447,1920,2097
RUFY1,4192,3530,3103,2093,2614,2565,1756,2225
RUFY1-AS1,9,26,22,10,4,6,8,3
RUFY2,730,727,721,1392,1146,1134,1067,1164
RUFY3,638,770,779,733,703,751,853,1008
RUNDC1,1900,1673,1931,1692,1296,1337,1395,1405
RUNDC3A,54,74,40,41,43,47,21,22
RUNDC3B,23,25,17,4,7,10,7,5
RUNX1,1227,1207,2336,1785,1438,1607,2049,2191
RUNX1T1,12,5,4,43,48,57,38,42
RUNX2,14,30,78,16,8,3,3,18
RUSC1,9998,8486,5816,7598,8360,8132,6893,7441
RUSC1-AS1,143,165,178,98,62,66,102,78
RUSC2,170,218,298,195,84,127,114,85
RUSF1,2364,2263,1564,1972,1391,1425,1293,1367
RUVBL1,7321,6431,4170,5457,5558,5007,4089,4516
RUVBL2,8704,7511,5568,6426,8565,7611,7392,8302
RWDD1,2058,1929,2327,2197,2222,1785,1970,2174
RWDD2A,280,230,180,418,218,221,180,179
RWDD2B,1127,925,740,1307,883,693,602,639
RWDD3,43,31,39,45,41,39,52,32
RWDD4,607,588,679,819,733,594,781,957
RXRA,9941,8892,9592,7927,4926,5463,4869,5795
RXRB,2145,1725,1608,1709,845,758,672,807
RXYLT1,1267,990,1144,978,799,721,759,851
RYBP,2023,1904,883,1110,2339,2219,1337,1436
RYK,2239,2086,2546,2714,2872,2514,3615,3525
RYR1,0,2,1,19,5,10,3,1
RYR2,4,10,4,7,9,6,9,8
RYR3,2,14,4,9,4,10,10,34
S100A1,154,153,119,77,49,45,45,86
S100A10,10655,7127,13558,13298,21058,16666,21480,21013
S100A11,22121,17817,29342,26730,37306,28333,34779,35631
S100A13,1850,1366,1314,1511,1511,1206,1176,1274
S100A14,10132,7725,7737,6005,10561,8491,7684,8402
S100A16,23485,19014,5811,6689,26251,23069,11068,12075
S100A2,62,47,37,25,29,38,31,37
S100A4,403,283,550,32,122,80,27,43
S100A6,10116,7278,7114,4766,7980,6756,5291,5643
S100A8,1,14,4,6,14,3,2,5
S100A9,19,10,0,20,17,17,18,12
S100P,243,181,57,35,84,40,48,29
S100PBP,766,634,405,444,805,782,569,585
S1PR2,27,24,18,28,15,19,47,34
S1PR3,1347,1166,3414,482,1158,1496,2174,1920
S1PR5,296,289,88,123,68,51,38,14
SAAL1,1217,1187,774,876,1372,966,882,1016
SAC3D1,2652,1999,1340,1649,2344,1937,1462,1707
SACM1L,1522,1538,1074,1102,1392,1424,1217,1215
SACS,652,978,296,348,553,677,490,559
SAE1,12015,9767,6274,5097,10906,9570,6715,7491
SAFB,6397,5053,5491,4195,5430,5238,4878,5751
SAFB2,3910,3021,3475,2153,2896,3115,2749,3290
SALL2,379,406,126,86,57,52,30,23
SALL4,39,71,123,80,102,92,88,141
SAMD1,6271,5009,4108,4569,4808,4144,3670,4097
SAMD10,1063,1103,1233,1034,968,938,816,914
SAMD11,2214,1583,964,1290,1344,1427,814,1087
SAMD12,452,540,520,498,418,328,334,430
SAMD13,4,15,1,5,21,6,2,1
SAMD14,19,10,7,10,1,4,0,4
SAMD15,73,63,26,115,41,26,19,46
SAMD4A,336,363,591,637,532,571,847,720
SAMD4B,4967,4526,6726,5687,2937,3418,4101,4306
SAMD8,2055,1929,2116,1544,1304,1265,1273,1363
SAMHD1,633,538,373,427,286,294,275,330
SAMM50,3423,2709,2694,3007,3174,2795,2530,2722
SANBR,326,332,357,477,328,257,260,201
SAP130,2550,2416,2201,2373,1987,2287,1827,2241
SAP18,7153,5434,5177,5823,7329,5898,6200,6922
SAP30,1249,1064,711,806,1150,1027,764,871
SAP30-DT,84,26,22,8,44,32,26,22
SAP30BP,4161,3444,3636,3190,4081,3787,3378,3577
SAP30L,2588,2187,2482,1502,2020,1969,1668,1886
SAP30L-AS1,18,41,10,19,13,17,28,17
SAPCD2,9044,7529,4611,4498,8292,9687,9015,10031
SAR1A,5048,4387,4795,5785,4650,3936,3908,4217
SAR1B,3496,3488,2891,3467,3679,2859,2378,2720
SARAF,6837,5923,5791,6370,4758,3668,2787,3081
SARDH,50,37,25,39,14,16,15,7
SARM1,46,49,53,15,23,2,31,42
SARNP,184,162,179,138,93,75,66,65
SARS1,11246,9530,11298,10261,9729,8832,8735,8976
SARS2,33,20,8,24,10,19,15,10
SART1,7288,6211,6815,5829,5774,5766,5976,6426
SART3,5356,4920,4434,3837,4528,4683,4628,5108
SASH1,156,140,75,216,408,585,359,427
SASS6,472,538,237,357,630,586,527,627
SAT1,697,549,1202,795,756,618,738,742
SAT2,83,104,158,50,58,54,54,57
SATB2,165,115,387,400,46,104,172,152
SATB2-AS1,19,7,8,11,4,1,15,3
SATL1,77,49,32,58,115,60,78,70
SAV1,1905,1664,2128,1763,1466,1353,1187,1315
SAXO1,1,5,11,4,0,0,4,0
SAXO2,15,17,16,14,11,2,10,12
SAYSD1,1580,1240,1761,1264,1643,1131,1231,1391
SBDS,2832,2600,2928,2846,3119,2463,3009,3039
SBDSP1,2516,2268,1663,1773,3386,2975,2983,2819
SBF1,9700,8488,13976,8465,4847,6036,5942,6112
SBF2,519,585,825,694,428,638,667,670
SBF2-AS1,112,111,87,126,190,183,112,155
SBK1,692,503,1034,909,514,582,629,585
SBK2,45,26,55,16,61,33,34,35
SBK3,2,0,9,2,0,8,3,0
SBNO1,3913,4003,5317,4569,3311,3388,3997,4263
SBNO1-AS1,92,69,26,43,62,73,42,56
SBNO2,5808,5117,7958,6182,5380,6356,6113,6305
SBSN,32,7,31,0,12,0,8,5
SBSPON,3,1,1,5,8,1,7,0
SC5D,1291,1119,4354,1566,1316,1053,1465,1483
SCAF1,7436,6295,7614,7113,5462,6144,6644,7243
SCAF11,5678,6220,5030,5991,4223,5065,4998,5326
SCAF4,1826,1690,2299,1778,1365,1719,1802,1908
SCAF8,2277,2515,2121,2061,2027,2263,2076,2299
SCAI,584,723,506,590,674,603,558,624
SCAMP1,4939,4845,2911,3555,4932,4738,4275,4793
SCAMP1-AS1,438,310,526,527,325,316,302,406
SCAMP2,2619,2043,2684,3108,2671,2305,2703,2822
SCAMP3,5956,4965,5851,5103,4571,3862,3279,3827
SCAMP4,1827,1574,2221,2725,1486,1670,1846,1750
SCAMP5,539,441,292,409,440,417,258,272
SCAND1,4748,3271,4544,4516,4695,3814,3643,3989
SCAP,4434,4096,5283,3997,3512,3485,3356,3456
SCAPER,262,287,184,208,204,270,160,229
SCARA3,375,320,47,83,229,329,124,125
SCARB1,10157,9235,11169,6595,10085,8125,8797,9575
SCARB2,7610,7403,4428,4969,9223,8984,8597,8983
SCARF1,0,6,6,21,1,10,1,3
SCARF2,123,89,60,71,76,46,36,19
SCARNA10,0,11,0,2,4,6,4,4
SCARNA13,3,12,8,2,10,3,4,5
SCARNA20,4,7,6,14,0,1,0,1
SCARNA21,9,5,3,0,7,8,9,10
SCARNA9,11,4,0,0,4,2,4,0
SCARNA9L,11,4,0,0,4,2,4,0
SCART1,152,143,121,50,35,73,108,62
SCAT2,20,8,3,6,14,20,26,20
SCCPDH,139,84,48,104,113,73,67,94
SCD,152374,154506,91619,34345,47759,42593,36354,40693
SCD5,767,530,505,834,481,479,420,439
SCFD1,2723,2737,1863,2713,2257,1922,1631,1886
SCFD2,708,683,471,618,628,601,533,582
SCGB2B2,6,4,6,16,22,16,1,1
SCIN,3329,2463,5663,2303,2668,2224,1812,1837
SCIRT,1,9,4,1,18,2,0,5
SCLT1,414,401,237,298,535,423,435,423
SCLY,48,32,50,40,30,29,30,27
SCMH1,724,555,1064,579,707,572,717,743
SCML1,1240,1249,1487,1274,1130,864,1002,1163
SCML2,1180,1058,384,452,1852,1982,1129,1299
SCN1B,108,55,77,51,61,31,63,40
SCN4A,5,20,1,8,2,1,1,0
SCN4B,59,65,21,7,2,1,3,5
SCN5A,10,2,0,12,2,15,8,2
SCN8A,46,50,44,51,29,63,25,23
SCNM1,4339,3441,4115,3555,4545,4172,3930,4321
SCNN1A,2366,2174,560,113,843,319,184,207
SCNN1B,30,24,9,5,81,29,20,16
SCNN1D,202,119,123,121,29,25,31,58
SCNN1G,23,23,11,11,22,15,0,11
SCO1,1415,1276,819,969,1697,1354,1199,1479
SCOC,3304,3189,2376,3089,3887,2814,2140,2276
SCOC-AS1,23,10,12,47,31,23,24,27
SCP2,1883,1611,1223,1458,2826,2089,2225,2181
SCPEP1,1019,961,1325,999,985,1044,1198,1208
SCRIB,9184,7989,11206,10432,5637,6450,5384,5935
SCRN1,9237,9375,10649,8493,8155,9491,9253,10340
SCRN2,3111,2266,1868,2346,1921,1601,1357,1400
SCRN3,743,781,615,931,689,566,513,574
SCTR,0,2,4,4,0,1,0,10
SCUBE1,24,14,26,18,4,5,12,11
SCUBE2,4,1,5,6,5,13,2,5
SCUBE3,30,28,32,20,8,14,12,27
SCYL1,6384,5726,7188,5537,5142,5337,4989,5361
SCYL2,4089,4272,4801,3757,4748,4543,4857,4882
SCYL3,687,670,1043,1076,607,556,665,785
SDAD1,1525,1671,1311,1586,1929,1770,1888,2189
SDAD1P1,36,33,7,55,11,19,18,24
SDC1,12298,9830,9133,8849,23194,21244,23011,23031
SDC2,778,630,1302,1223,1286,1152,1204,1310
SDC3,1274,1135,981,1158,500,539,554,657
SDC4,9027,7353,4101,4623,10752,8572,5812,6357
SDCBP,1052,857,1423,1516,894,679,915,972
SDCBP2,29,16,49,26,32,49,53,66
SDCBP2-AS1,108,83,136,109,71,97,47,51
SDCCAG8,340,257,248,249,232,208,232,156
SDE2,866,985,1122,1075,1075,887,1035,1191
SDF2,1535,1232,1212,1166,1850,1447,1462,1434
SDF2L1,3856,2627,2641,2756,3989,3697,3578,3830
SDF4,7634,6424,6390,5845,7830,7340,6920,7518
SDHA,13626,11784,11345,12300,11859,10861,10273,10963
SDHAF1,2069,1525,1782,1631,2288,1838,1720,1876
SDHAF2,513,474,539,611,612,440,515,518
SDHAF4,462,469,384,632,433,354,298,403
SDHAP1,1487,1310,1586,1165,1074,1149,930,1166
SDHAP2,868,828,916,783,738,714,733,721
SDHAP3,231,142,156,133,116,137,102,101
SDHAP4,1488,1331,1974,1297,1140,1172,1275,1330
SDHB,3823,3277,3410,3827,4193,3144,3714,4077
SDHC,10551,9215,8587,11679,8376,6948,5892,6648
SDHD,1884,1832,855,1086,3220,2280,1628,1838
SDK1,245,291,167,170,212,217,215,221
SDK2,58,73,174,178,44,58,45,52
SDR39U1,904,767,830,732,694,656,639,772
SDR42E1,10,8,5,10,9,13,0,1
SDR42E2,11,0,0,15,1,0,0,0
SDS,6,8,3,7,2,4,4,0
SDSL,1071,853,448,1655,803,682,435,533
SEC11A,8084,6513,7629,8047,11201,8462,9340,10366
SEC11C,1446,1161,1268,1370,1390,1224,1095,1105
SEC13,8851,7692,8367,10108,9360,8268,9320,9816
SEC14L1,4392,4254,7566,2373,1136,1245,1192,1190
SEC14L1P1,20,20,8,32,13,23,16,16
SEC14L2,106,95,58,89,118,113,81,91
SEC14L5,8,5,19,27,15,12,10,2
SEC16A,8032,8604,6980,8298,5950,7313,7910,8785
SEC22A,489,525,405,584,568,472,457,441
SEC22C,1602,1509,1386,1238,982,866,776,746
SEC23A,8255,8972,8823,9206,8066,7334,7571,7681
SEC23B,6100,5588,4662,5431,6576,6835,6214,6444
SEC23IP,3133,3049,2335,3371,2807,2745,2293,2488
SEC24A,1298,1328,1891,1322,1837,1688,1834,1957
SEC24B,1558,1501,1567,1876,1596,1606,1758,1852
SEC24B-AS1,19,30,14,39,31,12,19,11
SEC24C,9313,8423,9514,9105,7185,8231,8475,9250
SEC24D,1648,1758,1283,2030,860,865,948,835
SEC31A,5961,6250,5018,5777,4752,5548,5832,6400
SEC31B,120,102,70,107,38,51,43,45
SEC61A1,14334,12921,14567,15690,14132,14439,15492,16626
SEC61A2,272,221,335,448,162,164,184,195
SEC61B,4281,3319,4072,5099,4940,4014,4219,4882
SEC61G,1994,1905,2045,2721,2874,2094,2396,2498
SEC62,5671,5140,6065,6303,5355,4636,4736,5134
SEC63,3491,3169,1863,1958,3379,3105,2525,2790
SEC63P1,4,4,0,4,13,4,2,3
SECISBP2,3264,3643,4798,4451,3461,3595,3750,3996
SECISBP2L,1516,1746,2025,2001,1082,1221,980,1120
SECTM1,37,29,6,14,39,49,35,11
SEH1L,2829,2701,2631,3089,3215,3008,3653,4109
SEL1L,5837,6317,5221,5447,6863,7500,6193,6268
SEL1L3,687,813,1485,675,940,968,1364,1357
SELENBP1,9323,6653,2001,4207,2984,2742,1462,1669
SELENOF,3685,3114,2428,2155,4369,3687,3704,4060
SELENOH,2396,1902,1860,2262,2861,2118,2173,2437
SELENOI,5209,6081,4382,3262,4294,4195,3833,4027
SELENOK,1422,1236,1641,1323,1453,1114,1122,1191
SELENOM,197,159,76,111,135,96,102,87
SELENON,1773,1502,1640,2119,771,680,689,784
SELENOO,3655,2779,3233,2940,2389,2277,2409,2543
SELENOP,29,35,1,25,20,16,16,6
SELENOS,1732,1455,1495,1581,2092,1518,1761,1819
SELENOT,6451,6269,7739,7913,8310,6967,7061,7897
SELENOW,3309,2636,2496,3540,3665,3075,2945,2855
SELL,6,2,0,1,5,2,1,5
SEM1,6618,5321,5169,4806,8005,6123,6077,6672
SEMA3B,2716,2733,2097,1987,1105,732,683,714
SEMA3C,21834,24376,26094,29805,21946,21969,23200,25126
SEMA3D,5,2,1,8,12,10,0,1
SEMA3E,9,5,5,2,9,20,9,11
SEMA3F,6070,5486,4319,5270,2508,2528,2187,2118
SEMA3F-AS1,8,6,6,7,9,1,8,1
SEMA3G,42,63,18,26,40,55,15,28
SEMA4A,772,743,484,1145,864,929,985,1004
SEMA4B,1274,1108,1208,934,1047,1157,1011,998
SEMA4C,23831,20276,21229,11747,7408,8244,5860,6645
SEMA4D,1282,1246,1405,1554,1160,1269,1256,1375
SEMA4F,384,405,206,357,108,195,102,198
SEMA4G,350,258,229,226,85,169,49,77
SEMA6A,87,66,103,126,29,54,52,55
SEMA6A-AS1,27,17,13,4,21,9,37,20
SEMA6B,618,405,585,718,381,282,344,294
SEMA6C,197,152,76,86,82,73,69,71
SEMA6D,0,1,8,17,0,2,4,0
SEMA7A,88,56,187,111,144,212,256,232
SENP1,1973,1879,1537,1877,1968,1946,2045,2266
SENP2,3172,2930,3880,3906,1318,1211,1100,1275
SENP3,2076,1568,1747,1327,1386,1625,1517,1608
SENP5,3436,3325,4076,2870,3201,3089,3164,3347
SENP6,2990,3031,3601,3430,3407,3182,3257,3476
SENP7,657,715,357,382,491,470,343,369
SENP8,97,84,80,142,73,44,50,56
SEPHS1,6075,4929,4481,5026,5987,5510,5145,5656
SEPHS2,11506,9921,8597,8969,9546,8431,6568,7248
SEPSECS,527,616,406,391,457,374,294,289
SEPTIN1,8,9,1,4,10,0,6,4
SEPTIN10,1707,1364,471,492,1058,1061,630,658
SEPTIN11,5767,5641,4277,6345,4924,5825,4805,5044
SEPTIN12,16,16,4,1,0,0,1,3
SEPTIN2,12702,11099,8504,9798,12545,11384,11255,11821
SEPTIN3,314,191,84,169,173,185,149,169
SEPTIN4,29,13,1,8,6,1,2,3
SEPTIN4-AS1,3,7,4,9,0,1,0,1
SEPTIN5,57,91,19,53,46,62,51,54
SEPTIN6,91,146,102,100,13,14,38,25
