Genes,sc20_a,sc20_b,siA5_a,siA5_b,siP53_a,siP53_b,siA5_siP53_a,siA5_siP53_b
ENTPD1,1345,1347,2196,1102,905,932,774,881
ENTPD1-AS1,89,118,101,124,74,95,92,93
ENTPD2,1038,711,372,769,821,933,571,615
ENTPD3-AS1,128,155,74,154,192,158,99,129
ENTPD4,1662,1627,2955,2082,1292,1276,1555,1622
ENTPD5,1764,2363,927,1232,1225,1609,921,1151
ENTPD6,5590,5002,6352,4670,4315,4366,4190,4574
ENTPD7,365,386,149,184,391,547,172,136
ENTPD8,58,51,86,139,16,25,51,42
ENTR1,4048,3661,4057,2871,4508,3740,3974,4544
ENY2,3492,2763,2935,3156,4200,3232,2899,3472
EOGT,218,238,116,303,371,247,321,329
EOLA1,869,795,631,776,812,782,745,851
EOLA1-DT,15,20,5,36,3,12,6,5
EOLA2,1630,1486,1639,1635,1880,1434,1495,1513
EOLA2-DT,51,46,33,70,39,41,63,45
EOMES,520,471,138,445,315,332,211,279
EP300,2119,2605,3210,2306,1363,2098,2066,2387
EP400,3337,4047,3296,2708,1804,2767,2495,3018
EP400P1,365,361,353,378,237,289,229,291
EPAS1,527,363,1708,830,397,224,499,504
EPB41,2680,2989,2333,1927,1521,1927,1746,1728
EPB41L1,2091,1829,1013,1601,1649,1954,1497,1539
EPB41L2,74,41,73,225,72,104,224,122
EPB41L4A,75,38,56,88,42,48,70,57
EPB41L4B,1002,995,1180,1129,1130,915,1490,1655
EPB41L5,3845,3965,5306,4557,2089,2160,2643,2886
EPB42,14,7,1,7,1,1,0,0
EPC1,760,856,684,799,738,664,563,683
EPC2,1183,1181,1212,1347,1107,1005,1023,1067
EPCAM,9867,8804,9398,9532,15416,12456,16541,18115
EPDR1,593,689,635,180,745,589,607,717
EPG5,1121,1315,1007,872,737,854,731,814
EPGN,0,1,2,1,1,18,2,9
EPHA1,953,826,956,1140,360,300,318,293
