"","SYMBOL","GSM1921811","GSM1921812","GSM1921813","GSM1921814","GSM1921815","GSM1921816","GSM1921817","GSM1921818"
"14578","LOC107984515",0,0,0,0,0,0,0,0
"14579","LINC02955",0,0,0,0,0,0,0,0
"14580","LOC107984521",0,0,0,0,0,0,0,0
"14581","LOC107984522",0,0,1,0,0,1,0,0
"14582","LOC107984525",1,0,1,2,0,0,1,2
"14583",NA,0,0,3,2,0,0,0,1
"14584","LOC107984527",0,1,0,0,0,0,0,0
"14585","LINC02416",0,0,0,0,0,0,0,0
"14586",NA,5,9,23,11,9,16,4,16
"14587","LOC107984530",0,0,0,0,0,0,0,0
"14588",NA,0,0,0,0,0,0,0,0
"14589",NA,0,0,0,0,0,0,0,0
"14590","LOC107984533",0,0,0,0,0,0,0,0
"14591","LOC107984535",0,0,0,0,0,0,0,0
"14592","LOC107984536",0,0,0,0,0,0,0,0
"14593","LOC107984537",2,5,11,6,8,4,5,8
