"","SYMBOL","GSM2211605","GSM2211606","GSM2211607","GSM2211608","GSM2211609","GSM2211610","GSM2211611","GSM2211612","GSM2211613","GSM2211614"
"5392","LOC101929767",29,33,33,42,48,31,44,43,47,59
"5393","OSMR-DT",14,11,7,9,9,9,9,5,6,6
"5394","LINC01063",3,3,0,2,1,4,6,1,0,1
"5395","LOC101929770",1,1,0,0,1,1,0,1,1,0
"5396","LINC01655",2,2,2,2,2,1,1,2,2,2
"5397","LOC101929777",0,0,0,0,0,0,0,0,0,0
"5398","NBPF25P",344,369,363,498,504,481,415,416,453,620
"5399","LOC101929788",1,0,1,1,1,1,1,1,0,1
"5400","LOC101929790",1,2,2,2,1,1,1,0,1,1
"5401","NOTCH2NLR",150,178,129,128,152,188,130,136,154,182
"5402","PDE4DIPP4",9,20,12,22,20,21,20,27,22,21
"5403","LOC101929800",2,2,0,4,5,5,4,4,6,5
"5404","LOC101929805",2,4,4,3,3,3,2,1,1,1
"5405","LOC101929814",34,37,30,10,18,11,82,93,37,55
